1547644941 2019-01-16T13:22+00:00 2433 385 410 297 716 1650 1714 1827 941 389 832 200 639 194 312 239 660 1755     2865.515 400.385 378.666 263.882 663.797 1944.892 711.922 725.514 315.237 125.330 459.127 176.409 622.755 189.181 285.025 227.089 524.967 1228.184 
1547645847 2019-01-16T13:37+00:00 2437 386 410 297 714 1647 1715 1829 943 390 832 200 639 194 312 239 660 1755     2870.226 401.425 378.666 263.882 661.943 1941.356 712.337 726.308 315.907 125.652 459.127 176.409 622.755 189.181 285.025 227.089 524.967 1228.184 
1547646752 2019-01-16T13:52+00:00 2438 386 409 297 713 1645 1715 1829 944 390 832 200 640 194 312 239 659 1755     2871.404 401.425 377.742 263.882 661.016 1938.999 712.337 726.308 316.242 125.652 459.127 176.409 623.730 189.181 285.025 227.089 524.171 1228.184 
1547647658 2019-01-16T14:07+00:00 2442 386 409 296 712 1644 1717 1832 946 390 832 201 640 194 312 239 660 1755     2876.115 401.425 377.742 262.993 660.089 1937.820 713.168 727.500 316.912 125.652 459.127 177.291 623.730 189.181 285.025 227.089 524.967 1228.184 
1547648563 2019-01-16T14:22+00:00 2446 388 409 296 711 1641 1718 1834 948 391 832 201 641 194 312 240 660 1756     2880.826 403.505 377.742 262.993 659.162 1934.284 713.583 728.294 317.582 125.974 459.127 177.291 624.705 189.181 285.025 228.039 524.967 1228.884 
1547649469 2019-01-16T14:37+00:00 2443 387 409 297 703 1628 1713 1830 948 391 832 202 643 195 312 240 659 1752     2877.293 402.465 377.742 263.882 651.745 1918.960 711.506 726.706 317.582 125.974 459.127 178.173 626.654 190.156 285.025 228.039 524.171 1226.084 
1547650374 2019-01-16T14:52+00:00 2444 388 408 295 699 1624 1715 1832 949 391 832 202 646 195 312 240 659 1754     2878.471 403.505 376.819 262.105 648.037 1914.245 712.337 727.500 317.917 125.974 459.127 178.173 629.577 190.156 285.025 228.039 524.171 1227.484 
1547651279 2019-01-16T15:07+00:00 2451 387 408 295 706 1634 1720 1838 953 392 832 201 645 195 313 240 661 1759     2886.715 402.465 376.819 262.105 654.526 1926.033 714.414 729.882 319.257 126.296 459.127 177.291 628.603 190.156 285.938 228.039 525.762 1230.983 
1547652185 2019-01-16T15:23+00:00 2456 389 407 295 707 1635 1721 1840 956 392 832 201 644 195 313 240 662 1759     2892.604 404.545 375.895 262.105 655.454 1927.211 714.829 730.677 320.262 126.296 459.127 177.291 627.628 190.156 285.938 228.039 526.557 1230.983 
1547653090 2019-01-16T15:38+00:00 2461 389 407 294 709 1639 1722 1843 958 393 833 201 645 195 313 240 662 1761     2898.493 404.545 375.895 261.216 657.308 1931.926 715.245 731.868 320.932 126.618 459.679 177.291 628.603 190.156 285.938 228.039 526.557 1232.383 
1547653996 2019-01-16T15:53+00:00 2468 390 408 295 709 1639 1725 1847 960 393 832 201 646 196 313 241 663 1764     2906.737 405.585 376.819 262.105 657.308 1931.926 716.491 733.456 321.602 126.618 459.127 177.291 629.577 191.131 285.938 228.989 527.353 1234.482 
1547654901 2019-01-16T16:08+00:00 2472 391 407 294 709 1639 1726 1848 962 394 833 201 646 196 313 241 663 1764     2911.448 406.625 375.895 261.216 657.308 1931.926 716.906 733.853 322.272 126.940 459.679 177.291 629.577 191.131 285.938 228.989 527.353 1234.482 
1547655807 2019-01-16T16:23+00:00 2476 391 407 294 709 1639 1727 1850 964 394 833 201 647 196 313 241 663 1765     2916.159 406.625 375.895 261.216 657.308 1931.926 717.321 734.648 322.942 126.940 459.679 177.291 630.552 191.131 285.938 228.989 527.353 1235.182 
